n,count_commentators,count_lines,text
1489,2,0,"<dl><dt><span class=""line"" id=""tln_1489-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1489"">Who heard me to denie it or forsweare it?</span></p></dd></dl>"
1490,2,2,"<dl><dt><span class=""line"" id=""tln_1490-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1490"">These eares of mine thou knowst did hear thee: </span><span class=""line"" id=""tln_1491"">Fie on thee wretch, &rsquo;tis pitty that thou liu&rsquo;st </span><span class=""line"" id=""tln_1492"">To walke where any honest men resort.</span></p></dd></dl>"
1493,3,2,"<dl><dt><span class=""line"" id=""tln_1493-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1493"">Thou art a Villaine to impeach me thus, </span><span class=""line"" id=""tln_1494"">Ile proue mine honor, and mine honestie </span><span class=""line"" id=""tln_1495"">Against thee presently, if thou dar&rsquo;st stand:</span></p></dd></dl>"
1496,3,0,"<dl><dt><span class=""line"" id=""tln_1496-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1496"">I dare and do defie thee for a villaine.</span></p></dd></dl>"
1498,1,2,"<dl><dt><span class=""line"" id=""tln_1498-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1498"">Hold, hurt him not for God sake, he is mad, </span><span class=""line"" id=""tln_1499"">Some get within him, take his sword away: </span><span class=""line"" id=""tln_1500"">Binde Dromio too, and beare them to my house.</span></p></dd></dl>"
1501,2,1,"<dl><dt><span class=""line"" id=""tln_1501-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1501"">Runne master run, for Gods sake take a house, </span><span class=""line"" id=""tln_1502"">This is some Priorie, in, or we are spoyl&rsquo;d.</span></p></dd></dl>"
1505,3,0,"<dl><dt><span class=""line"" id=""tln_1505-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1505"">Be quiet people, wherefore throng you hither?</span></p></dd></dl>"
1506,0,2,"<dl><dt><span class=""line"" id=""tln_1506-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1506"">To fetch my poore distracted husband hence, </span><span class=""line"" id=""tln_1507"">Let vs come in, that we may binde him fast, </span><span class=""line"" id=""tln_1508"">And beare him home for his recouerie.</span></p></dd></dl>"
1509,1,0,"<dl><dt><span class=""line"" id=""tln_1509-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1509"">I knew he vvas not in his perfect wits.</span></p></dd></dl>"
1510,0,0,"<dl><dt><span class=""line"" id=""tln_1510-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1510"">I am sorry now that I did draw on him.</span></p></dd></dl>"
1511,2,0,"<dl><dt><span class=""line"" id=""tln_1511-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1511"">How long hath this possession held the man.</span></p></dd></dl>"
1512,5,3,"<dl><dt><span class=""line"" id=""tln_1512-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1512"">This weeke he hath beene heauie, sower sad, </span><span class=""line"" id=""tln_1513"">And much different from the man he was: </span><span class=""line"" id=""tln_1514"">But till this afternoone his passion </span><span class=""line"" id=""tln_1515"">Ne&rsquo;re brake into extremity of rage.</span></p></dd></dl>"
1516,3,5,"<dl><dt><span class=""line"" id=""tln_1516-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1516"">Hath he not lost much wealth by wrack of sea, </span><span class=""line"" id=""tln_1517"">Buried some deere friend, hath not else his eye </span><span class=""line"" id=""tln_1518"">Stray&rsquo;d his affection in vnlawfull loue, </span><span class=""line"" id=""tln_1519"">A sinne preuailing much in youthfull men, </span><span class=""line"" id=""tln_1520"">Who giue their eies the liberty of gazing. </span><span class=""line"" id=""tln_1521"">Which of these sorrowes is he subiect too?</span></p></dd></dl>"
1522,0,1,"<dl><dt><span class=""line"" id=""tln_1522-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1522"">To none of these, except it be the last, </span><span class=""line"" id=""tln_1523"">Namely, some loue that drew him oft from home.</span></p></dd></dl>"
1524,7,0,"<dl><dt><span class=""line"" id=""tln_1524-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1524"">You should for that haue reprehended him.</span></p></dd></dl>"
1525,0,0,"<dl><dt><span class=""line"" id=""tln_1525-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1525"">Why so I did.</span></p></dd></dl>"
1526,0,0,"<dl><dt><span class=""line"" id=""tln_1526-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1526"">I but not rough enough.</span></p></dd></dl>"
1527,0,0,"<dl><dt><span class=""line"" id=""tln_1527-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1527"">As roughly as my modestie would let me.</span></p></dd></dl>"
1528,3,0,"<dl><dt><span class=""line"" id=""tln_1528-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1528"">Haply in priuate.</span></p></dd></dl>"
1529,1,0,"<dl><dt><span class=""line"" id=""tln_1529-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1529"">And in assemblies too.</span></p></dd></dl>"
1530,10,0,"<dl><dt><span class=""line"" id=""tln_1530-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1530"">I, but not enough.</span></p></dd></dl>"
1531,12,5,"<dl><dt><span class=""line"" id=""tln_1531-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1531"">It was the copie of our Conference. </span><span class=""line"" id=""tln_1532"">In bed he slept not for my vrging it, </span><span class=""line"" id=""tln_1533"">At boord he fed not for my vrging it: </span><span class=""line"" id=""tln_1534"">Alone, it was the subiect of my Theame: </span><span class=""line"" id=""tln_1535"">In company I often glanced it: </span><span class=""line"" id=""tln_1536"">Still did I tell him, it was vilde and bad.</span></p></dd></dl>"
1537,25,18,"<dl><dt><span class=""line"" id=""tln_1537-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1537"">And thereof came it, that the man was mad. </span><span class=""line"" id=""tln_1538"">The venome clamors of a iealous woman, </span><span class=""line"" id=""tln_1539"">Poisons more deadly then a mad dogges tooth. </span><span class=""line"" id=""tln_1540"">It seemes his sleepes were hindred by thy railing, </span><span class=""line"" id=""tln_1541"">And thereof comes it that his head is light. </span><span class=""line"" id=""tln_1542"">Thou saist his meate was sawc&rsquo;d with thy vpbraidings, </span><span class=""line"" id=""tln_1543"">Vnquiet meales make ill digestions, </span><span class=""line"" id=""tln_1544"">Thereof the raging fire of feauer bred, </span><span class=""line"" id=""tln_1545"">And what&rsquo;s a Feauer, but a fit of madnesse? </span><span class=""line"" id=""tln_1546"">Thou sayest his sports were hindred by thy bralles. </span><span class=""line"" id=""tln_1547"">Sweet recreation barr&rsquo;d, what doth ensue </span><span class=""line"" id=""tln_1548"">But moodie and dull melancholly, </span><span class=""line"" id=""tln_1549"">Kinsman to grim and comfortlesse dispaire, </span><span class=""line"" id=""tln_1550"">And at her heeles a huge infectious troope </span><span class=""line"" id=""tln_1551"">Of pale distemperatures, and foes to life? </span><span class=""line"" id=""tln_1552"">In food, in sport, and life-preseruing rest </span><span class=""line"" id=""tln_1553"">To be disturb&rsquo;d, would mad or man, or beast: </span><span class=""line"" id=""tln_1554"">The consequence is then, thy iealous fits </span><span class=""line"" id=""tln_1555"">Hath scar&rsquo;d thy husband from the vse of wits.</span></p></dd></dl>"
1556,6,2,"<dl><dt><span class=""line"" id=""tln_1556-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1556"">She neuer reprehended him but mildely, </span><span class=""line"" id=""tln_1557"">When he demean&rsquo;d himselfe, rough, rude, and wildly, </span><span class=""line"" id=""tln_1558"">Why beare you these rebukes, and answer not?</span></p></dd></dl>"
1559,3,1,"<dl><dt><span class=""line"" id=""tln_1559-speech"">Adri.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1559"">She did betray me to my owne reproofe, </span><span class=""line"" id=""tln_1560"">Good people enter, and lay hold on him.</span></p></dd></dl>"
1561,0,0,"<dl><dt><span class=""line"" id=""tln_1561-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1561"">No, not a creature enters in my house.</span></p></dd></dl>"
1562,1,0,"<dl><dt><span class=""line"" id=""tln_1562-speech"">Ad.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1562"">Then let your seruants bring my husband forth.</span></p></dd></dl>"
1563,1,3,"<dl><dt><span class=""line"" id=""tln_1563-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1563"">Neither: he tooke this place for sanctuary, </span><span class=""line"" id=""tln_1564"">And it shall priuiledge him from your hands, </span><span class=""line"" id=""tln_1565"">Till I haue brought him to his wits againe, </span><span class=""line"" id=""tln_1566"">Or loose my labour in assaying it.</span></p></dd></dl>"
1567,4,3,"<dl><dt><span class=""line"" id=""tln_1567-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1567"">I will attend my husband, be his nurse, </span><span class=""line"" id=""tln_1568"">Diet his sicknesse, for it is my Office, </span><span class=""line"" id=""tln_1569"">And will haue no atturney but my selfe, </span><span class=""line"" id=""tln_1570"">And therefore let me haue him home with me.</span></p></dd></dl>"
1571,8,6,"<dl><dt><span class=""line"" id=""tln_1571-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1571"">Be patient, for I will not let him stirre, </span><span class=""line"" id=""tln_1572"">Till I haue vs&rsquo;d the approoued meanes I haue, </span><span class=""line"" id=""tln_1573"">With wholsome sirrups, drugges, and holy prayers </span><span class=""line"" id=""tln_1574"">To make of him a formall man againe: </span><span class=""line"" id=""tln_1575"">It is a branch and parcell of mine oath, </span><span class=""line"" id=""tln_1576"">A charitable dutie of my order, </span><span class=""line"" id=""tln_1577"">Therefore depart, and leaue him heere with me.</span></p></dd></dl>"
1578,1,2,"<dl><dt><span class=""line"" id=""tln_1578-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1578"">I will not hence, and leaue my husband heere: </span><span class=""line"" id=""tln_1579"">And ill it doth beseeme your holinesse </span><span class=""line"" id=""tln_1580"">To separate the husband and the wife.</span></p></dd></dl>"
1581,2,0,"<dl><dt><span class=""line"" id=""tln_1581-speech"">Ab.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1581"">Be quiet and depart, thou shalt not haue him.</span></p></dd></dl>"
1582,1,0,"<dl><dt><span class=""line"" id=""tln_1582-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1582"">Complaine vnto the Duke of this indignity.</span></p></dd></dl>"
1583,1,3,"<dl><dt><span class=""line"" id=""tln_1583-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1583"">Come go, I will fall prostrate at his feete, </span><span class=""line"" id=""tln_1584"">And neuer rise vntill my teares and prayers </span><span class=""line"" id=""tln_1585"">Haue won his grace to come in person hither, </span><span class=""line"" id=""tln_1586"">And take perforce my husband from the Abbesse.</span></p></dd></dl>"
1587,15,4,"<dl><dt><span class=""line"" id=""tln_1587-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1587"">By this I thinke the Diall points at fiue: </span><span class=""line"" id=""tln_1588"">Anon I&rsquo;me sure the Duke himselfe in person </span><span class=""line"" id=""tln_1589"">Comes this way to the melancholly vale; </span><span class=""line"" id=""tln_1590"">The place of depth, and sorrie execution, </span><span class=""line"" id=""tln_1591"">Behinde the ditches of the Abbey heere.</span></p></dd></dl>"
1592,3,0,"<dl><dt><span class=""line"" id=""tln_1592-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1592"">Vpon what cause?</span></p></dd></dl>"
1593,1,3,"<dl><dt><span class=""line"" id=""tln_1593-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1593"">To see a reuerent Siracusian Merchant, </span><span class=""line"" id=""tln_1594"">Who put vnluckily into this Bay </span><span class=""line"" id=""tln_1595"">Against the Lawes and Statutes of this Towne, </span><span class=""line"" id=""tln_1596"">Beheaded publikely for his offence.</span></p></dd></dl>"
1597,2,0,"<dl><dt><span class=""line"" id=""tln_1597-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1597"">See where they come, we wil behold his death.</span></p></dd></dl>"
1598,1,0,"<dl><dt><span class=""line"" id=""tln_1598-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1598"">Kneele to the Duke before he passe the Abbey.</span></p></dd></dl>"
1602,1,2,"<dl><dt><span class=""line"" id=""tln_1602-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1602"">Yet once againe proclaime it publikely, </span><span class=""line"" id=""tln_1603"">If any friend will pay the summe for him, </span><span class=""line"" id=""tln_1604"">He shall not die, so much we tender him.</span></p></dd></dl>"
1605,1,0,"<dl><dt><span class=""line"" id=""tln_1605-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1605"">Iustice most sacred Duke against the Abbesse.</span></p></dd></dl>"
1606,1,1,"<dl><dt><span class=""line"" id=""tln_1606-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1606"">She is a vertuous and a reuerend Lady, </span><span class=""line"" id=""tln_1607"">It cannot be that she hath done thee wrong.</span></p></dd></dl>"
1608,13,24,"<dl><dt><span class=""line"" id=""tln_1608-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1608"">May it please your Grace, Antipholus my husb&atilde;d, </span><span class=""line"" id=""tln_1609"">Who I made Lord of me, and all I had, </span><span class=""line"" id=""tln_1610"">At your important Letters this ill day, </span><span class=""line"" id=""tln_1611"">A most outragious fit of madnesse tooke him: </span><span class=""line"" id=""tln_1612"">That desp&rsquo;rately he hurried through the streete, </span><span class=""line"" id=""tln_1613"">With him his bondman, all as mad as he, </span><span class=""line"" id=""tln_1614"">Doing displeasure to the Citizens, </span><span class=""line"" id=""tln_1615"">By rushing in their houses: bearing thence </span><span class=""line"" id=""tln_1616"">Rings, Iewels, any thing his rage did like. </span><span class=""line"" id=""tln_1617"">Once did I get him bound, and sent him home, </span><span class=""line"" id=""tln_1618"">Whil&rsquo;st to take order for the wrongs I went, </span><span class=""line"" id=""tln_1619"">That heere and there his furie had committed, </span><span class=""line"" id=""tln_1620"">Anon I wot not, by what strong escape </span><span class=""line"" id=""tln_1621"">He broke from those that had the guard of him, </span><span class=""line"" id=""tln_1622"">And with his mad attendant and himselfe, </span><span class=""line"" id=""tln_1623"">Each one with irefull passion, with drawne swords </span><span class=""line"" id=""tln_1624"">Met vs againe, and madly bent on vs </span><span class=""line"" id=""tln_1625"">Chac&rsquo;d vs away: till raising of more aide </span><span class=""line"" id=""tln_1626"">We came againe to binde them: then they fled </span><span class=""line"" id=""tln_1627"">Into this Abbey, whether we pursu&rsquo;d them, </span><span class=""line"" id=""tln_1628"">And heere the Abbesse shuts the gates on vs, </span><span class=""line"" id=""tln_1629"">And will not suffer vs to fetch him out, </span><span class=""line"" id=""tln_1630"">Nor send him forth, that we may beare him hence. </span><span class=""line"" id=""tln_1631"">Therefore most gracious Duke with thy command, </span><span class=""line"" id=""tln_1632"">Let him be brought forth, and borne hence for helpe.</span></p></dd></dl>"
1633,9,6,"<dl><dt><span class=""line"" id=""tln_1633-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1633"">Long since thy husband seru&rsquo;d me in my wars </span><span class=""line"" id=""tln_1634"">And I to thee ingag&rsquo;d a Princes word, </span><span class=""line"" id=""tln_1635"">When thou didst make him Master of thy bed, </span><span class=""line"" id=""tln_1636"">To do him all the grace and good I could. </span><span class=""line"" id=""tln_1637"">Go some of you, knocke at the Abbey gate, </span><span class=""line"" id=""tln_1638"">And bid the Lady Abbesse come to me: </span><span class=""line"" id=""tln_1639"">I will determine this before I stirre.</span></p></dd></dl>"
1641,14,9,"<dl><dt><span class=""line"" id=""tln_1641-speech""></span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1641"">Oh Mistris, Mistris, shift and saue your selfe, </span><span class=""line"" id=""tln_1642"">My Master and his man are both broke loose, </span><span class=""line"" id=""tln_1643"">Beaten the Maids a-row, and bound the Doctor, </span><span class=""line"" id=""tln_1644"">Whose beard they haue sindg&rsquo;d off with brands of fire, </span><span class=""line"" id=""tln_1645"">And euer as it blaz&rsquo;d, they threw on him </span><span class=""line"" id=""tln_1646"">Great pailes of puddled myre to quench the haire; </span><span class=""line"" id=""tln_1647"">My M preaches patience to him, and the while </span><span class=""line"" id=""tln_1648"">His man with Cizers nickes him like a foole: </span><span class=""line"" id=""tln_1649"">And sure (vnlesse you send some present helpe) </span><span class=""line"" id=""tln_1650"">Betweene them they will kill the Coniurer.</span></p></dd></dl>"
1651,0,1,"<dl><dt><span class=""line"" id=""tln_1651-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1651"">Peace foole, thy Master and his man are here, </span><span class=""line"" id=""tln_1652"">And that is false thou dost report to vs.</span></p></dd></dl>"
1653,9,5,"<dl><dt><span class=""line"" id=""tln_1653-speech"">Mess.</span></dt><dd><p class=""speech""> <span class=""line"" id=""tln_1653"">Mistris, vpon my life I tel you true, </span><span class=""line"" id=""tln_1654"">I haue not breath&rsquo;d almost since I did see it. </span><span class=""line"" id=""tln_1655"">He cries for you, and vowes if he can take you, </span><span class=""line"" id=""tln_1656"">To scorch your face, and to disfigure you: </span><span class=""line"" id=""tln_1657""><p><span class=""stage"">Cry within.</span></p></span><span class=""line"" id=""tln_1658"">Harke, harke, I heare him Mistris: flie, be gone.</span></p></dd></dl>"
1659,0,1,"<dl><dt><span class=""line"" id=""tln_1659-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1659"">Come stand by me, feare nothing: guard with </span><span class=""line"" id=""tln_1660"">Halberds.</span></p></dd></dl>"
1661,2,3,"<dl><dt><span class=""line"" id=""tln_1661-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1661"">Ay me, it is my husband: witnesse you, </span><span class=""line"" id=""tln_1662"">That he is borne about inuisible, </span><span class=""line"" id=""tln_1663"">Euen now we hous&rsquo;d him in the Abbey heere. </span><span class=""line"" id=""tln_1664"">And now he&rsquo;s there, past thought of humane reason.</span></p></dd></dl>"
1666,19,4,"<dl><dt><span class=""line"" id=""tln_1666-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1666"">Iustice most gracious Duke, oh grant me iustice, </span><span class=""line"" id=""tln_1667"">Euen for the seruice that long since I did thee, </span><span class=""line"" id=""tln_1668"">When I bestrid thee in the warres, and tooke </span><span class=""line"" id=""tln_1669"">Deepe scarres to saue thy life; euen for the blood </span><span class=""line"" id=""tln_1670"">That then I lost for thee, now grant me iustice.</span></p></dd></dl>"
1671,3,1,"<dl><dt><span class=""line"" id=""tln_1671-speech"">Mar. Fat.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1671"">Vnlesse the feare of death doth make me </span><span class=""line"" id=""tln_1672"">dote, I see my sonne Antipholus and Dromio.</span></p></dd></dl>"
1673,5,5,"<dl><dt><span class=""line"" id=""tln_1673-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1673"">Iustice (sweet Prince) against y Woman there: </span><span class=""line"" id=""tln_1674"">She whom thou gau&rsquo;st to me to be my wife; </span><span class=""line"" id=""tln_1675"">That hath abused and dishonored me, </span><span class=""line"" id=""tln_1676"">Euen in the strength and height of iniurie: </span><span class=""line"" id=""tln_1677"">Beyond imagination is the wrong </span><span class=""line"" id=""tln_1678"">That she this day hath shamelesse throwne on me.</span></p></dd></dl>"
1679,1,0,"<dl><dt><span class=""line"" id=""tln_1679-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1679"">Discouer how, and thou shalt finde me iust.</span></p></dd></dl>"
1680,4,2,"<dl><dt><span class=""line"" id=""tln_1680-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1680"">This day (great Duke) she shut the doores </span><span class=""line"" id=""tln_1681"">vpon me, </span><span class=""line"" id=""tln_1682"">While she with Harlots feasted in my house.</span></p></dd></dl>"
1683,0,0,"<dl><dt><span class=""line"" id=""tln_1683-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1683"">A greeuous fault: say woman, didst thou so?</span></p></dd></dl>"
1684,7,2,"<dl><dt><span class=""line"" id=""tln_1684-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1684"">No my good Lord. My selfe, he, and my sister, </span><span class=""line"" id=""tln_1685"">To day did dine together: so befall my soule, </span><span class=""line"" id=""tln_1686"">As this is false he burthens me withall.</span></p></dd></dl>"
1687,1,1,"<dl><dt><span class=""line"" id=""tln_1687-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1687"">Nere may I looke on day, nor sleepe on night, </span><span class=""line"" id=""tln_1688"">But she tels to your Highnesse simple truth.</span></p></dd></dl>"
1689,0,1,"<dl><dt><span class=""line"" id=""tln_1689-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1689"">O periur&rsquo;d woman! They are both forsworne, </span><span class=""line"" id=""tln_1690"">In this the Madman iustly chargeth them.</span></p></dd></dl>"
1691,37,39,"<dl><dt><span class=""line"" id=""tln_1691-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1691"">My Liege, I am aduised what I say, </span><span class=""line"" id=""tln_1692"">Neither disturbed with the effect of Wine, </span><span class=""line"" id=""tln_1693"">Nor headie-rash prouoak&rsquo;d with raging ire, </span><span class=""line"" id=""tln_1694"">Albeit my wrongs might make one wiser mad. </span><span class=""line"" id=""tln_1695"">This woman lock&rsquo;d me out this day from dinner; </span><span class=""line"" id=""tln_1696"">That Goldsmith there, were he not pack&rsquo;d with her, </span><span class=""line"" id=""tln_1697"">Could witnesse it: for he was with me then, </span><span class=""line"" id=""tln_1698"">Who parted with me to go fetch a Chaine, </span><span class=""line"" id=""tln_1699"">Promising to bring it to the Porpentine, </span><span class=""line"" id=""tln_1700"">Where Balthasar and I did dine together. </span><span class=""line"" id=""tln_1701"">Our dinner done, and he not comming thither, </span><span class=""line"" id=""tln_1702"">I went to seeke him. In the street I met him, </span><span class=""line"" id=""tln_1703"">And in his companie that Gentleman. </span><span class=""line"" id=""tln_1704"">There did this periur&rsquo;d Goldsmith sweare me downe, </span><span class=""line"" id=""tln_1705"">That I this day of him receiu&rsquo;d the Chaine, </span><span class=""line"" id=""tln_1706"">Which God he knowes, I saw not. For the which, </span><span class=""line"" id=""tln_1707"">He did arrest me with an Officer. </span><span class=""line"" id=""tln_1708"">I did obey, and sent my Pesant home </span><span class=""line"" id=""tln_1709"">For certaine Duckets: he with none return&rsquo;d. </span><span class=""line"" id=""tln_1710"">Then fairely I bespoke the Officer </span><span class=""line"" id=""tln_1711"">To go in person with me to my house. </span><span class=""line"" id=""tln_1712"">By&rsquo;th&rsquo;way, we met my wife, her sister, and a rabble more </span><span class=""line"" id=""tln_1713"">Of vilde Confederates: Along with them </span><span class=""line"" id=""tln_1714"">They brought one Pinch, a hungry leane-fac&rsquo;d Villaine; </span><span class=""line"" id=""tln_1715"">A meere Anatomie, a Mountebanke, </span><span class=""line"" id=""tln_1716"">A thred-bare Iugler, and a Fortune-teller, </span><span class=""line"" id=""tln_1717"">A needy-hollow-ey&rsquo;d-sharpe-looking-wretch; </span><span class=""line"" id=""tln_1718"">A liuing dead man. This pernicious slaue, </span><span class=""line"" id=""tln_1719"">Forsooth tooke on him as a Coniurer: </span><span class=""line"" id=""tln_1720"">And gazing in mine eyes, feeling my pulse, </span><span class=""line"" id=""tln_1721"">And with no-face (as &rsquo;twere) out-facing me, </span><span class=""line"" id=""tln_1722"">Cries out, I was possest. Then altogether </span><span class=""line"" id=""tln_1723"">They fell vpon me, bound me, bore me thence, </span><span class=""line"" id=""tln_1724"">And in a darke and dankish vault at home </span><span class=""line"" id=""tln_1725"">There left me and my man, both bound together, </span><span class=""line"" id=""tln_1726"">Till gnawing with my teeth my bonds in sunder, </span><span class=""line"" id=""tln_1727"">I gain&rsquo;d my freedome; and immediately </span><span class=""line"" id=""tln_1728"">Ran hether to your Grace, whom I beseech </span><span class=""line"" id=""tln_1729"">To giue me ample satisfaction </span><span class=""line"" id=""tln_1730"">For these deepe shames, and great indignities.</span></p></dd></dl>"
1731,0,1,"<dl><dt><span class=""line"" id=""tln_1731-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1731"">My Lord, in truth, thus far I witnes with him: </span><span class=""line"" id=""tln_1732"">That he din&rsquo;d not at home, but was lock&rsquo;d out.</span></p></dd></dl>"
1733,2,0,"<dl><dt><span class=""line"" id=""tln_1733-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1733"">But had he such a Chaine of thee, or no?</span></p></dd></dl>"
1734,2,1,"<dl><dt><span class=""line"" id=""tln_1734-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1734"">He had my Lord, and when he ran in heere, </span><span class=""line"" id=""tln_1735"">These people saw the Chaine about his necke.</span></p></dd></dl>"
1736,4,5,"<dl><dt><span class=""line"" id=""tln_1736-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1736"">Besides, I will be sworne these eares of mine, </span><span class=""line"" id=""tln_1737"">Heard you confesse you had the Chaine of him, </span><span class=""line"" id=""tln_1738"">After you first forswore it on the Mart, </span><span class=""line"" id=""tln_1739"">And thereupon I drew my sword on you: </span><span class=""line"" id=""tln_1740"">And then you fled into this Abbey heere, </span><span class=""line"" id=""tln_1741"">From whence I thinke you are come by Miracle.</span></p></dd></dl>"
1742,4,3,"<dl><dt><span class=""line"" id=""tln_1742-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1742"">I neuer came within these Abbey wals, </span><span class=""line"" id=""tln_1743"">Nor euer didst thou draw thy sword on me: </span><span class=""line"" id=""tln_1744"">I neuer saw the Chaine, so helpe me heauen: </span><span class=""line"" id=""tln_1745"">And this is false you burthen me withall.</span></p></dd></dl>"
1746,9,5,"<dl><dt><span class=""line"" id=""tln_1746-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1746"">Why what an intricate impeach is this? </span><span class=""line"" id=""tln_1747"">I thinke you all haue drunke of Circes cup: </span><span class=""line"" id=""tln_1748"">If heere you hous&rsquo;d him, heere he would haue bin. </span><span class=""line"" id=""tln_1749"">If he were mad, he would not pleade so coldly: </span><span class=""line"" id=""tln_1750"">You say he din&rsquo;d at home, the Goldsmith heere </span><span class=""line"" id=""tln_1751"">Denies that saying. Sirra, what say you?</span></p></dd></dl>"
1752,7,1,"<dl><dt><span class=""line"" id=""tln_1752-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1752"">Sir he din&rsquo;de with her there, at the Porpen-&shy; </span><span class=""line"" id=""tln_1753"">tine.</span></p></dd></dl>"
1754,0,0,"<dl><dt><span class=""line"" id=""tln_1754-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1754"">He did, and from my finger snacht that Ring.</span></p></dd></dl>"
1755,0,0,"<dl><dt><span class=""line"" id=""tln_1755-speech"">E. Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1755"">Tis true (my Liege) this Ring I had of her.</span></p></dd></dl>"
